Instrument,Sector,Sub Sector
AARTIIND,Material,Chemical
ABFRL,Retail,Apparel
AHLUCONT,Infra,Construction
ALKEM,Pharma,Pharma
ALLCARGO,Misc,Logistics
ANDHRSUGAR,Material,Sugar
APARINDS,Industrial,Industrial
APCOTEXIND,Material,Chemical
APEX,Retail,Retail
APLAPOLLO,Material,Pipes
APOLLOHOSP,Pharma,Pharma
APOLLOTYRE,Auto,Auto
ARVIND,Retail,Apparel
ASHOKA,Infra,Construction
ASHOKLEY,Auto,Auto
ASIANPAINT,Material,Paint
ATULAUTO,Auto,Auto
AUROPHARMA,Pharma,Pharma
AVANTIFEED,Retail,Retail
AXISBANK,Finance,Banking
BAJAJCORP,Retail,FMCG
BAJAJFINSV,Finance,Finance
BAJFINANCE,Finance,Finance
BALLARPUR,Material,Paper
BALMLAWRIE,Industrial,Industrial
BANDHANBNK,Finance,Banking
BANKBARODA,Finance,Banking
BANKINDIA,Finance,Banking
BEML,Industrial,Industrial
BHARATFORG,Auto,Auto
BHARTIARTL,Misc,Telecom
BLS,IT,IT
BSE,Finance,Finance
CADILAHC,Pharma,Pharma
CANFINHOME,Finance,Finance
CANTABIL,Retail,Retail
CAPACITE,Infra,Construction
CAPF,Finance,Finance
CAPLIPOINT,Pharma,Pharma
CDSL,Finance,Finance
CEATLTD,Auto,Auto
CHOLAFIN,Finance,Finance
CIPLA,Pharma,Pharma
COFFEEDAY,Misc,Restaurants
CUB,Finance,Banking
CUMMINSIND,Industrial,Industrial
CYIENT,IT,IT
DAAWAT,Retail,Retail
DABUR,Retail,FMCG
DBL,Infra,Construction
DCBBANK,Finance,Banking
DEN,Misc,Media
DHFL,Finance,Finance
DIVISLAB,Pharma,Pharma
DRREDDY,Pharma,Pharma
EMAMILTD,Retail,FMCG
ENGINERSIN,Infra,Construction
ENIL,Misc,Media
EXIDEIND,Misc,Battery
FAIRCHEM,Material,Chemical
FDC,Pharma,Pharma
FLFL,Retail,Retail
FSC,Misc,Logistics
FSL,IT,IT
GATI,Misc,Logistics
GENUSPOWER,Misc,Energy
GLENMARK,Pharma,Pharma
GMRINFRA,Infra,Construction
GODREJAGRO,Misc,Agriculture
GODREJCP,Retail,FMCG
GRAPHITE,Material,Graphite
HATHWAY,Misc,Media
HCLTECH,IT,IT
HDFCBANK,Finance,Banking
HEG,Material,Graphite
HEROMOTOCO,Auto,Auto
HGS,IT,IT
HINDALCO,Material,Metal
HINDUNILVR,Retail,FMCG
IBREALEST,Infra,Realstate
ICICIBANK,Finance,Banking
IEX,Misc,Trading
IFBAGRO,Retail,FMCG
IGPL,Material,Chemical
INDHOTEL,Misc,Hotels
INDIANB,Finance,Banking
INDIGO,Misc,Airlines
INDNIPPON,Auto,Auto
INDUSINDBK,Finance,Banking
INFINITE,IT,IT
INFY,IT,IT
IPAPPM,Material,Paper
IRB,Infra,Construction
ITC,Retail,FMCG
ITDCEM,Infra,Construction
IVRCLINFRA,Infra,Construction
JBCHEPHARM,Pharma,Pharma
JINDALSAW,Material,Pipes
JINDALSTEL,Material,Metal
JKPAPER,Material,Paper
JKTYRE,Auto,Auto
JPASSOCIAT,Industrial,Industrial
JSL,Material,Metal
JSWSTEEL,Material,Metal
JTEKTINDIA,Auto,Auto
JUBLFOOD,Misc,Restaurants
JUBLRetail,Misc,Restaurants
KHADIM,Retail,Footwear
KNRCON,Infra,Construction
LEMONTREE,Misc,Hotels
LGBBROSLTD,Auto,Auto
LT,Infra,Construction
LTI,IT,IT
LUMAXIND,Auto,Auto
LUPIN,Pharma,Pharma
M&MFIN,Finance,Finance
MANPASAND,Retail,FMCG
MINDTREE,IT,IT
MOLDTECH,Infra,Construction
MONSANTO,Misc,Fertilizers
MONTECARLO,Retail,Retail
MOTHERSUMI,Auto,Auto
MPHASIS,IT,IT
MUTHOOTCAP,Finance,Finance
NBCC,Infra,Construction
NH,Misc,Hospitals
NIITTECH,IT,IT
NOCIL,Material,Chemical
NTPC,Misc,Energy
ONGC,Misc,Energy
PARAGMILK,Retail,FMCG
PCJEWELLER,Retail,Jewellery
PERSISTENT,IT,IT
PETRONET,Misc,Energy
PHILIPCARB,Material,Chemical
PHOENIXLTD,Infra,Realstate
PIDILITIND,Material,Chemical
PNB,Finance,Banking
POWERMECH,Infra,Construction
PRESTIGE,Infra,Realstate
PSPPROJECT,Infra,Construction
RADICO,Retail,FMCG
RAJESHEXPO,Retail,Jewellery
RBLBANK,Finance,Banking
RELIANCE,Misc,Energy
ROHLTD,Misc,Hotels
RTNINFRA,Misc,Energy
RTNPOWER,Misc,Energy
RUCHIRA,Material,Paper
SADBHAV,Infra,Construction
SELAN,Misc,Energy
SHANTIGEAR,Auto,Auto
SHILPAMED,Pharma,Pharma
SHK,Material,Chemical
SOBHA,Infra,Realstate
SONATSOFTW,IT,IT
SOUTHBANK,Finance,Banking
SPECIALITY,Misc,Hotels
STAR,Pharma,Pharma
STRTECH,Misc,Telecom
SUNPHARMA,Pharma,Pharma
SUNTV,Misc,Media
TAKE,IT,IT
TATAGLOBAL,Retail,FMCG
TATAMOTORS,Auto,Auto
TATASTEEL,Material,Metal
TBZ,Retail,Jewellery
TCS,IT,IT
TECHM,IT,IT
TITAN,Retail,Jewellery
TNPL,Material,Paper
TORNTPOWER,Misc,Power
TRIDENT,Misc,Textiles
TV18BRDCST,Misc,Media
UNIONBANK,Finance,Banking
UPL,Material,Chemical
V2RETAIL,Retail,Retail
VAKRANGEE,IT,IT
VEDL,Material,Metal
VENKEYS,Retail,Retail
VIJAYABANK,Finance,Banking
VIPIND,Retail,Retail
VSTIND,Retail,FMCG
WIPRO,IT,IT
WSTCSTPAPR,Material,Paper
YESBANK,Finance,Banking
ZEEL,Misc,Media
